name,company,year,Price,kms_driven,fuel_type
Santro Xing,Hyundai,2007,80000,45000.0,Petrol
Figo,Ford,2012,175000,41000.0,Diesel
Eon,Hyundai,2013,190000,25000.0,Petrol
Fabia Classic,Skoda,2010,182000,60000.0,Petrol
Suzuki Alto,Maruti,2014,160000,35550.0,Petrol
Suzuki Alto,Maruti,2015,75000,39000.0,Petrol
i20 Sportz,Hyundai,2012,100000,55000.0,Petrol
Suzuki Alto,Maruti,2017,190000,72000.0,Petrol
Suzuki Alto,Maruti,2008,95000,70000.0,Petrol
Bolero DI,Mahindra,2017,180000,23452.0,Diesel
Suzuki Swift,Maruti,2017,180000,15487.0,Petrol
Suzuki Wagon,Maruti,2013,105000,39000.0,Petrol
City ZX,Honda,2017,170000,15000.0,Diesel
Suzuki Wagon,Maruti,2013,85000,29685.0,Petrol
Indigo eCS,Tata,2017,200000,130000.0,Diesel
Spark LS,Chevrolet,2010,110000,41000.0,Petrol
Fabia 1.2L,Skoda,2011,159500,38200.0,Diesel
i20 Magna,Hyundai,2009,195000,32000.0,Petrol
Verna Transform,Hyundai,2008,160000,45000.0,Petrol
City 1.5,Honda,2005,90000,50000.0,Petrol
Fabia 1.2L,Skoda,2011,155000,45863.0,Diesel
Suzuki A,Maruti,2011,189500,12500.0,Petrol
Beat LT,Chevrolet,2012,135000,45000.0,Diesel
Suzuki Alto,Maruti,2012,155000,14000.0,Petrol
Figo Diesel,Ford,2014,195000,50000.0,Diesel
Suzuki Esteem,Maruti,2007,69999,51000.0,Petrol
Spark,Chevrolet,2012,158400,33600.0,Petrol
Micra XV,Nissan,2011,179000,41000.0,Petrol
Suzuki Swift,Maruti,2007,125000,70000.0,Petrol
Suzuki Alto,Maruti,2018,200000,7500.0,Petrol
Beat,Chevrolet,2015,150000,30000.0,Petrol
Indica V2,Tata,2006,90000,20000.0,Petrol
Motors Ambassador,Hindustan,2000,70000,200000.0,Diesel
Spark LT,Chevrolet,2010,85000,45000.0,Petrol
Suzuki Swift,Maruti,2010,189500,38500.0,Diesel
Punto Emotion,Fiat,2012,169500,37200.0,Diesel
Suzuki Swift,Maruti,2010,159500,43200.0,Diesel
i10 Sportz,Hyundai,2010,168000,45872.0,Petrol
Beat LT,Chevrolet,2011,150000,40000.0,Diesel
Beat LS,Chevrolet,2011,145000,45000.0,Diesel
Beat LT,Chevrolet,2012,98500,38000.0,Diesel
Indigo CS,Tata,2011,85000,11400.0,Diesel
Eon Era,Hyundai,2013,185000,27000.0,Petrol
Suzuki Wagon,Maruti,2012,199999,44000.0,Petrol
i20,Hyundai,2009,199000,31000.0,Petrol
Petra ELX,Fiat,2008,75000,65000.0,Petrol
Santro Xing,Hyundai,2005,49000,7500.0,Petrol
Suzuki Zen,Maruti,2000,55000,60000.0,Petrol
Suzuki Alto,Maruti,2011,145000,41000.0,Petrol
Nano Cx,Tata,2013,40000,2200.0,Petrol
Suzuki Alto,Maruti,2013,125000,39000.0,Petrol
Suzuki Wagon,Maruti,2009,135000,45000.0,Petrol
Suzuki Swift,Maruti,2006,135000,45000.0,Petrol
Suzuki Wagon,Maruti,2010,145000,54870.0,Petrol
Suzuki Alto,Maruti,2010,135000,34580.0,Petrol
City ZX,Honda,2008,110000,45000.0,Petrol
Suzuki Wagon,Maruti,2006,80000,71200.0,Petrol
Eon Sportz,Hyundai,2012,178000,30000.0,Petrol
Suzuki Wagon,Maruti,2003,90000,45000.0,Petrol
Suzuki Esteem,Maruti,2006,95000,45000.0,Petrol
Suzuki 800,Maruti,2003,57000,56758.0,Petrol
Beat LS,Chevrolet,2010,120000,43000.0,Petrol
Santro Xing,Hyundai,2000,59000,56450.0,Petrol
Beat LS,Chevrolet,2010,80000,56000.0,Petrol
Accent GLX,Hyundai,2006,80000,56000.0,Petrol
Indica V2,Tata,2008,150000,11000.0,Petrol
Indigo CS,Tata,2009,72500,46000.0,Diesel
Accord,Honda,2009,175000,58559.0,Petrol
Corolla Altis,Toyota,2009,199999,65000.0,Petrol
Polo,Volkswagen,2010,199999,60000.0,Diesel
Manza Aura,Tata,2012,130000,72000.0,Diesel
Eon,Hyundai,2014,174999,14000.0,Petrol
Accent,Hyundai,2010,99999,45000.0,Petrol
Spark LT,Chevrolet,2009,110000,44000.0,Petrol
Vista Quadrajet,Tata,2011,120000,90000.0,Diesel
Suzuki Zen,Maruti,2003,85000,69900.0,Petrol
i10 Magna,Hyundai,2011,175000,45000.0,Petrol
City ZX,Honda,2008,149000,42000.0,Petrol
Beat Diesel,Chevrolet,2017,150000,62000.0,Diesel
Suzuki 800,Maruti,1995,30000,55000.0,Petrol
Suzuki Versa,Maruti,2004,80000,50000.0,Petrol
Indigo LX,Tata,2016,130000,104000.0,Diesel
City,Honda,2000,65000,80000.0,Petrol
Santro Xing,Hyundai,2006,75000,46000.0,Petrol
Suzuki Omni,Maruti,2001,70000,70000.0,Petrol
Sonata Transform,Hyundai,2017,190000,36469.0,Diesel
Suzuki Alto,Maruti,2011,155000,32000.0,Petrol
Jazz S,Honda,2009,169999,24695.0,Petrol
Suzuki Zen,Maruti,2001,40000,40000.0,Petrol
Scorpio W,Mahindra,2012,165000,65000.0,Diesel
Spark LS,Chevrolet,2010,95000,23000.0,Petrol
Ikon 1.3,Ford,2001,45000,65000.0,Petrol
Manza ELAN,Tata,2010,155555,111111.0,Petrol
Indigo LS,Tata,2016,125000,70000.0,Diesel
i20 Magna,Hyundai,2010,195000,36000.0,Petrol
Logan Diesel,Mahindra,2009,130000,66000.0,Petrol
Nano GenX,Tata,2010,32000,44005.0,Petrol
Figo Petrol,Ford,2011,175000,75000.0,Petrol
Suzuki Versa,Maruti,2004,90000,50000.0,Petrol
Eon Era,Hyundai,2018,140000,2110.0,Petrol
Corolla H2,Toyota,2003,150000,100000.0,Petrol
Indigo CS,Tata,2015,123000,100000.0,Diesel
Accent Executive,Hyundai,2009,165000,48000.0,Petrol
Suzuki 800,Maruti,2001,55000,81876.0,Petrol
Verna 1.6,Hyundai,2016,195000,56000.0,Diesel
Suzuki Swift,Maruti,2007,130000,62000.0,Petrol
Suzuki Omni,Maruti,2014,190000,6020.0,Petrol
Indica,Tata,2005,80000,42000.0,Petrol
Santro Xing,Hyundai,2003,120000,50000.0,Petrol
Suzuki Zen,Maruti,2010,149000,35000.0,Petrol
Suzuki Wagon,Maruti,2007,120000,7000.0,Petrol
Suzuki Zen,Maruti,2003,99999,53000.0,Petrol
Suzuki Zen,Maruti,2008,135000,23000.0,Petrol
Suzuki Alto,Maruti,2010,99000,22134.0,Petrol
Nano Lx,Tata,2010,52000,9000.0,Petrol
Eon Magna,Hyundai,2014,190000,35000.0,Petrol
Motors Ambassador,Hindustan,2002,90000,25000.0,Diesel
Suzuki Ritz,Maruti,2010,149000,40000.0,Petrol
Eon D,Hyundai,2016,120000,87000.0,Petrol
Suzuki Estilo,Maruti,2013,180000,65000.0,Petrol
Lancer 1.8,Mitsubishi,2006,85000,50000.0,Petrol
Suzuki 800,Maruti,2001,40000,75000.0,Petrol
Suzuki Alto,Maruti,2015,90000,55800.0,Petrol
Suzuki Ritz,Maruti,2010,180000,72160.0,Diesel
Suzuki Wagon,Maruti,2006,90001,48000.0,Petrol
Suzuki Estilo,Maruti,2007,115000,36000.0,Petrol
Suzuki Wagon,Maruti,2003,130000,133000.0,Petrol
Suzuki Wagon,Maruti,2009,159000,27000.0,Petrol
Suzuki Wagon,Maruti,2009,160000,35000.0,Petrol
Suzuki Alto,Maruti,2010,110000,55000.0,Petrol
Suzuki Swift,Maruti,2009,150000,45000.0,Petrol
Getz Prime,Hyundai,2009,110000,20000.0,Petrol
Santro,Hyundai,2000,51999,88000.0,Petrol
Getz Prime,Hyundai,2009,115000,20000.0,Petrol
Indica V2,Tata,2005,35000,150000.0,Diesel
Nano,Tata,2013,60000,6800.0,Petrol
Suzuki Swift,Maruti,2011,140000,65000.0,Diesel
Suzuki Alto,Maruti,2014,199000,37000.0,Petrol
Accent GLE,Hyundai,2006,90000,55000.0,Petrol
Spark 1.0,Chevrolet,2011,100000,27000.0,Petrol
Etios Liva,Toyota,2014,160000,24652.0,Petrol
Suzuki Omni,Maruti,2012,160000,14000.0,Petrol
Zest Quadrajet,Tata,2017,180000,90000.0,Diesel
Indigo CS,Tata,2016,150000,104000.0,Diesel
i10 Era,Hyundai,2011,175000,30000.0,Petrol
Indigo eCS,Tata,2014,95000,195000.0,Diesel
Indigo Marina,Tata,2004,180000,70000.0,Diesel
Eon Magna,Hyundai,2013,185000,23000.0,Petrol
Suzuki Alto,Maruti,2009,90000,62000.0,Petrol
Nano LX,Tata,2010,32000,48008.0,Petrol
Suzuki Swift,Maruti,2006,189700,48247.0,Petrol
i10 Magna,Hyundai,2009,170000,75000.0,Petrol
Corolla Altis,Toyota,2010,185000,55000.0,Petrol
Manza Aqua,Tata,2014,160000,200000.0,Diesel
Venture EX,Tata,2013,100000,30000.0,Diesel
Octavia Classic,Skoda,2006,114990,65000.0,Diesel
Beat Diesel,Chevrolet,2011,125000,56000.0,Diesel
Suzuki Zen,Maruti,2002,95000,10544.0,Petrol
Ikon 1.6,Ford,2003,60000,50000.0,Petrol
Beat LT,Chevrolet,2012,130000,90001.0,Diesel
Suzuki Swift,Maruti,2010,190000,74000.0,Diesel
Santro Xing,Hyundai,2014,179000,57000.0,Petrol
Suzuki Zen,Maruti,2003,48000,60000.0,Petrol
Eon Era,Hyundai,2013,190000,39700.0,Petrol
Suzuki Zen,Maruti,2008,125000,46000.0,Petrol
Eon Era,Hyundai,2012,188000,38000.0,Petrol
Beat Diesel,Chevrolet,2016,179999,19336.0,Diesel
Indica eV2,Tata,2015,140000,60105.0,Diesel
City 1.5,Honda,2005,120000,68000.0,Petrol
Scorpio 2.6,Mahindra,2004,175000,58000.0,Diesel
Suzuki Omni,Maruti,2009,85000,45000.0,Petrol
Beat LT,Chevrolet,2012,135000,36000.0,Petrol
Scorpio SLX,Mahindra,2004,175000,60000.0,Diesel
Vento Comfortline,Volkswagen,2011,200000,95000.0,Diesel
City ZX,Honda,2006,180000,50000.0,Petrol
Suzuki Wagon,Maruti,2008,140000,68000.0,Petrol
Suzuki Omni,Maruti,2009,85000,56000.0,Petrol
Suzuki Zen,Maruti,2004,70000,100000.0,Petrol
Indigo CS,Tata,2016,110000,85000.0,Diesel
Suzuki Zen,Maruti,2004,68000,56000.0,Petrol
Suzuki Wagon,Maruti,2014,130000,37458.0,Petrol
Santro AE,Hyundai,2011,165000,45000.0,Petrol
Santro,Hyundai,2003,60000,51000.0,Petrol
Getz GLE,Hyundai,2007,99000,55000.0,Petrol
Santro Xing,Hyundai,2007,115000,46000.0,Petrol
Santro Xing,Hyundai,2009,88000,43200.0,Petrol
Santro Xing,Hyundai,2007,135000,42000.0,Petrol
Indica V2,Tata,2009,90000,30600.0,Diesel
Santro Xing,Hyundai,2007,135000,47000.0,Petrol
City 1.5,Honda,2005,95000,41000.0,Petrol
City 1.5,Honda,2005,115000,68000.0,Petrol
Suzuki Wagon,Maruti,2004,53000,69000.0,Petrol
Indica eV2,Tata,2012,85000,55000.0,Diesel
Suzuki Omni,Maruti,2013,165000,25000.0,Petrol
Eon Era,Hyundai,2014,200000,28400.0,Petrol
Eon,Hyundai,2014,200000,28000.0,Petrol
Tavera LS,Chevrolet,2005,130000,68485.0,Diesel
Suzuki Zen,Maruti,2006,71000,32000.0,Petrol
Fusion 1.4,Ford,2007,125000,85455.0,Diesel
Santro Xing,Hyundai,2007,135000,46000.0,Petrol
Santro,Hyundai,2002,60000,47000.0,Petrol
Linea Emotion,Fiat,2009,120000,64000.0,Petrol
Ikon 1.3,Ford,2008,95000,46000.0,Petrol
Indica V2,Tata,2012,115000,64000.0,Diesel
Santro Xing,Hyundai,2007,55000,65000.0,Petrol
Corolla,Toyota,2006,160000,40000.0,Petrol
Sumo Grande,Tata,2010,130000,90000.0,Diesel
Suzuki Alto,Maruti,2003,42000,60000.0,Petrol
Suzuki Swift,Maruti,2009,120000,90000.0,Diesel
Indigo eCS,Tata,2016,130000,150000.0,Diesel
Beat LS,Chevrolet,2014,189000,31000.0,Diesel
Eon D,Hyundai,2013,170000,20000.0,Petrol
Nano,Tata,2013,60000,7000.0,Petrol
Suzuki Alto,Maruti,2005,70000,47000.0,Petrol
Suzuki Alto,Maruti,2005,100000,40000.0,Petrol
Suzuki Ritz,Maruti,2010,150000,38000.0,Diesel
Suzuki Swift,Maruti,2008,162000,60000.0,Diesel
Indica V2,Tata,2005,60000,80000.0,Diesel
Suzuki Omni,Maruti,2000,35999,60000.0,Petrol
Indica V2,Tata,2005,39999,80000.0,Diesel
Santro Xing,Hyundai,2006,85000,60000.0,Petrol
Suzuki Swift,Maruti,2008,175000,58000.0,Diesel
Logan,Mahindra,2009,130000,65000.0,Diesel
Suzuki 800,Maruti,2000,30000,33400.0,Petrol
Santro AE,Hyundai,2003,60000,70000.0,Petrol
Suzuki Wagon,Maruti,2006,100000,7000.0,Petrol
Manza,Tata,2015,100000,100000.0,Diesel
Qualis,Toyota,2003,180000,100000.0,Diesel
Santro Xing,Hyundai,2004,45000,137495.0,Petrol
Indica eV2,Tata,2016,50500,91200.0,Diesel
Indigo eCS,Tata,2016,160000,104000.0,Diesel
Getz,Hyundai,2006,125000,80000.0,Petrol
Suzuki Alto,Maruti,2005,95000,65000.0,Petrol
Fabia,Skoda,2009,110000,45000.0,Petrol
Indica V2,Tata,2009,110000,30000.0,Diesel
